id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,description,photos,cost-basis-in-pennies,quantity,date-entered
37973,Kung Fu [5 Screw],NES,1120,Item only,Normal wear,,,,0,1,2022-03-17
7279,Blue Dragon,Xbox 360,1300,Item only,Normal wear,,,,2000,1,2022-09-19
12329,Metal Gear,NES,1339,Item only,Normal wear,,,,0,1,2021-11-21
34322,Pokemon X,Nintendo 3DS,3145,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
9790,Sonic the Hedgehog 2,Sega Genesis,1709,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
9891,Super Mario Bros 3,NES,997,Manual only,Normal wear,,,,0,1,2022-03-22
72665,Sonic CD,PC Games,1000,Item only,Normal wear,,,,0,1,2022-03-22
6925,Final Fantasy II,Super Nintendo,5924,Item only,Normal wear,,,,0,1,2021-11-21
2980,Pokemon Crystal,GameBoy Color,10000,Item only,Normal wear,,,,9500,1,2023-01-25
4114,Phoenix Wright Ace Attorney,Nintendo DS,2774,"Item, Box, and Manual",Normal wear,,,,1500,1,2021-11-21
32999,Pokemon Special Edition Gameboy Color System,GameBoy Color,9181,Item only,Normal wear,,,,0,1,2022-03-22
2390903,Tomb Raider Angel of Darkness,PC Games,754,Item only,Normal wear,,,,0,1,2022-12-17
19623,Mario & Luigi: Bowser's Inside Story,Nintendo DS,1820,Item only,Normal wear,,,,0,1,2023-01-04
70033,World of Warcraft: Wrath of the Lich King,PC Games,799,Item only,Normal wear,,,,0,1,2022-03-22
7156,Super Street Fighter II,Super Nintendo,2349,Item only,Normal wear,,,,1500,1,2022-08-30
6902,Donkey Kong Country 3,Super Nintendo,2899,Item only,Torn label,,,,2500,1,2022-11-09
36567,Pokken Tournament,Wii U,996,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
2386903,Analogue Super NT,Super Nintendo,39382,"New Item, Box, and Manual",Normal wear,,,,19900,1,2022-11-06
2386904,Analogue Mega SG,Sega Genesis,30000,Item only,Normal wear,,,,0,1,2022-03-18
9637,RBI Baseball 4,Sega Genesis,625,Item only,Normal wear,,,,0,1,2021-11-21
36088,Rock Band 4,Playstation 4,3788,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
4199683,EverDrive GBA Mini,GameBoy Advance,21869,"Item, Box, and Manual",Normal wear,,,,0,1,2022-12-09
8540,Atari Classics Evolved,PSP,1299,"Item, Box, and Manual",Normal wear,,,,1500,1,2022-11-12
31173,Gals Fighters,Neo Geo Pocket Color,12000,Item only,Normal wear,,,,0,1,2021-11-21
5140,Dragon Ball Z Budokai,Playstation 2,692,Item only,Normal wear,,,,0,1,2022-03-22
12980,Hard Drivin,Sega Genesis,552,Item only,Normal wear,,,,0,1,2021-11-21
1935117,Miitopia,Nintendo Switch,3135,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
65621,Poke Ball Plus,Nintendo Switch,6015,Item only,Normal wear,,,,0,1,2021-11-21
11995,Ice Hockey,NES,664,Item only,Normal wear,,,,0,1,2021-11-21
50204,SNK vs. Capcom: Card Fighter's Clash Capcom Version,Neo Geo Pocket Color,4200,Item only,Normal wear,,,,0,1,2021-11-21
31500,Zelda Ocarina of Time 3D,Nintendo 3DS,1900,Item only,Normal wear,,,,1000,1,2022-11-23
15215,ET the Extra Terrestrial,Atari 2600,899,Item only,Normal wear,,,,0,1,2021-11-21
37972,Ice Climber [5 Screw],NES,5631,Item only,Normal wear,,,,3000,1,2022-01-11
7130,Super Castlevania IV,Super Nintendo,4238,Item only,Normal wear,,,,0,1,2021-11-21
8848,Disgaea Afternoon of Darkness,PSP,1974,"Item, Box, and Manual",Normal wear,,,,1700,1,2022-11-11
9236,Legend of Zelda,NES,2825,Item only,Normal wear,,,,0,1,2022-08-12
11983,Bubble Bobble,NES,1999,Item only,Normal wear,,,,0,1,2022-08-12
7140,Super Mario RPG,Super Nintendo,9149,Item only,Normal wear,,,,0,1,2021-11-21
16869,Original Gameboy System,GameBoy,4350,Item only,Scratches,,,,0,1,2022-03-29
37966,Baseball [5 Screw],NES,899,Item only,Normal wear,,,,800,1,2022-12-15
31165,Pocket Tennis Color,Neo Geo Pocket Color,3691,Item only,Normal wear,,,,0,1,2021-11-21
2852,Game and Watch Gallery 2,GameBoy Color,899,Item only,Normal wear,,,,0,1,2022-12-17
37128,Pokemon Moon,Nintendo 3DS,2000,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
12278,Jaws,NES,2050,Item only,Normal wear,,,,0,1,2021-11-21
3951803,Star Wars Knights of the Old Republic II: The Sith Lords,Nintendo Switch,0,"New Item, Box, and Manual",Normal wear,,,,3499,1,2022-08-27
37127,Pokemon Sun,Nintendo 3DS,2123,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
33801,Ni No Kuni Wrath of the White Witch,Playstation 3,999,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
6944,Gradius III,Super Nintendo,1449,Item only,Normal wear,,,,0,1,2021-11-21
15395,Pitfall,Atari 2600,942,Item only,Normal wear,,,,0,1,2021-11-21
4080,Mario Kart DS,Nintendo DS,1562,"Item, Box, and Manual",Normal wear,,,,1100,1,2021-11-21
15301,Kangaroo,Atari 2600,414,Item only,Normal wear,,,,0,1,2021-11-21
12451,Super Mario Bros and Duck Hunt,NES,1371,Item and Manual only,Normal wear,,,,0,1,2021-11-21
31533,Super Street Fighter IV: Arcade Edition,Playstation 3,1235,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
7254,Zelda Link to the Past,Super Nintendo,2992,Item only,Normal wear,,,,0,1,2021-11-21
34776,Sega Genesis CDx Console,Sega Genesis,0,Item only,Not working,,,,0,1,2022-03-22
6901,Donkey Kong Country 2,Super Nintendo,2299,Item only,Normal wear,,,,2500,1,2022-11-09
15251,Galaxian,Atari 2600,862,Item only,Normal wear,,,,0,1,2021-11-21
9965,Tetris 2,GameBoy,902,Item only,Normal wear,,,,0,1,2023-02-11
3190,Black GameCube System,Gamecube,6750,Item only,Normal wear,,,,0,1,2022-03-22
6926,Final Fantasy III,Super Nintendo,6899,Item only,Normal wear,,,,0,1,2021-11-21
7068,Revolution X,Super Nintendo,1030,Item only,Normal wear,,,,0,1,2021-11-21
15344,Missile Command,Atari 2600,469,Item only,Normal wear,,,,0,1,2021-11-21
18369,Ren and Stimpy Quest for the Shaven Yak,Sega Game Gear,1199,Item only,Normal wear,,,,0,1,2022-11-04
72023,World of Warcraft: The Burning Crusade,PC Games,896,Item only,Normal wear,,,,0,1,2022-03-22
52122,Super Mario Party,Nintendo Switch,3499,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
9791,Sonic the Hedgehog 3,Sega Genesis,4514,Item and Box only,Normal wear,,,,0,1,2021-11-21
4124,Pokemon Pearl,Nintendo DS,5608,"Item, Box, and Manual",Torn label,,damaged cover,,0,1,2022-03-22
5871,Tak and the Power of JuJu,Playstation 2,1053,"Item, Box, and Manual",Normal wear,,,,1200,1,2022-11-11
13472,Lost World Jurassic Park,GameBoy,1500,Item only,Normal wear,,,,0,1,2023-02-11
9964,Tetris,NES,993,Item only,Normal wear,,,,0,1,2022-08-12
4436,Final Fantasy VIII,Playstation,1764,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
12173,A Boy and His Blob Trouble on Blobolonia,NES,1462,Item only,Normal wear,,,,1200,1,2022-11-12
65630,Pokemon Sword,Nintendo Switch,2874,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
37805,Ever Oasis,Nintendo 3DS,4785,"Item, Box, and Manual",Normal wear,,,,4300,1,2022-11-23
34445,Rocksmith 2014,Playstation 3,1549,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
15202,Dice Puzzle,Atari 2600,2600,Item only,Normal wear,,,,0,1,2021-11-21
18287,Jurassic Park,Sega Game Gear,938,Item only,Normal wear,,,,0,1,2022-11-04
12434,Spelunker,NES,1497,Item only,Normal wear,,,,0,1,2021-11-21
47004,Mario Tennis Aces,Nintendo Switch,2999,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
40528,Pokemon Ultra Moon,Nintendo 3DS,3850,"Item, Box, and Manual",Normal wear,,,,3500,1,2022-11-12
7065,Ranma 1/2 Hard Battle,Super Nintendo,1515,Item only,Normal wear,,,,2700,1,2022-11-06
7141,Super Mario World,Super Nintendo,2755,Item and Manual only,Normal wear,,,,0,1,2021-11-21
18400,Sonic Drift 2,Sega Game Gear,2499,Item only,Normal wear,,,,0,1,2022-12-15
72847,The Last of Us Part II,Playstation 4,1899,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
3742,Donkey Kong 64,Nintendo 64,3200,Item only,Normal wear,,,,0,1,2021-11-21
9788,Sonic Spinball,Sega Genesis,869,Item only,Normal wear,,,,0,1,2022-12-17
31161,Dark Arms: Beast Busters 1999,Neo Geo Pocket Color,4500,Item only,Normal wear,,,,0,1,2021-11-21
65634,Shenmue III,Playstation 4,895,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
11863,Columns,Sega Genesis,1443,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
